index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,year
51,9.03E-05,0.953978884,20.62856463,"[27.108452611218567, 18.14484203739523, 26.15119922630561]",27.10845261,5.283671941,1964
52,0.002122571,1,134.9929824,"[189.20009342301944, 124.5298355754858, 79.02083333333333]",189.2000934,7.935260074,1942
53,0.008154762,0.988092693,68.1016213,"[86.63888764880953, 64.64750372023809, 47.732674851190474]",86.63888765,7.390584776,1938
54,0,0.293402841,33.89464976,"[42.20618638676845, 31.125076335877864, 36.85540076335878]",42.20618639,4.073792297,1959
55,0.001257688,0.978776818,90.13044472,"[94.98996617466175, 88.33814883148831, 93.57526137761377]",94.98996617,6.90149905,1962
56,0.000939525,0.997759827,29.22708707,"[57.75613390928726, 21.264629229661626, 24.09515478761699]",57.75613391,5.635772684,1957
57,0.002609254,1,169.2862043,"[195.67193658954585, 164.0141645244216, 143.8146829477292]",195.6719366,7.633272216,1944
58,0.002412821,0.669075881,76.51888916,"[147.86497948717948, 60.551671794871794, 24.601646153846154]",147.8649795,7.265425935,1959
59,0.000486486,0.733043157,62.98625144,"[107.44773273273273, 51.97590690690691, 41.13150750750751]",107.4477327,6.139710756,1960
60,0.004753886,1,125.5838879,"[161.73901986183074, 118.85237910189983, 85.80264248704663]",161.7390199,7.689199043,1946
61,0.006173352,1,115.5906343,"[149.9957561088059, 107.90844167819272, 90.37976486860305]",149.9957561,7.892984961,1942
62,0.000811138,0.976281129,64.25363904,"[145.5723163841808, 44.079955609362386, 24.639616626311543]",145.5723164,6.651652989,1964
63,0.002829268,1,119.2362166,"[154.20324506387922, 112.17806504065041, 86.18912195121952]",154.2032451,7.815654541,1942
64,0.00593985,0.985278034,44.61368604,"[66.66827067669173, 36.81945802005013, 56.879990601503756]",66.66827068,6.028023828,1960
65,0.004780059,0.723974947,68.00985083,"[64.78357771260997, 66.48335288367547, 92.63113880742912]",64.78357771,5.878251982,1959
66,0.006031357,0.998092754,104.6020244,"[122.3664730743013, 101.16145875937286, 86.37447307430129]",122.3664731,7.243077032,1944
67,0.009050279,0.558721731,53.9039042,"[64.59855369335816, 48.79237430167598, 73.04633767846059]",64.59855369,6.005811672,1962
68,0.000142685,0.68904822,127.4264124,"[206.55644224301352, 105.61010212193482, 110.52863898571108]",206.5564422,7.544367406,1957
69,0.001064401,0.913586546,44.91127828,"[43.103881932021466, 45.67639534883721, 42.65422480620155]",43.10388193,6.424837863,1962
70,0,0.398273762,141.2675075,"[187.79316138552718, 134.1260977311551, 75.00964399425771]",187.7931614,6.666674195,1957
71,0.000473555,0.499926889,46.18717445,"[77.93297355473555, 36.79829950799508, 45.7130258302583]",77.93297355,6.122464674,1959
72,0.011177945,0.992152882,84.34429162,"[112.77407268170425, 79.87043609022557, 44.947200501253135]",112.7740727,7.291023494,1946
73,7.01E-05,0.91624397,20.02098507,"[29.582055449330785, 17.516864244741875, 16.672836201402166]",29.58205545,3.676021681,1960
74,0.000789101,0.945959474,25.79293574,"[54.850212314225054, 18.004200283085634, 17.384716914366596]",54.85021231,5.098078121,1968
75,0.002434783,0.732592506,49.96464153,"[55.40536231884058, 48.48635869565217, 48.587503623188404]",55.40536232,5.487007041,1964
76,6.44E-05,0.720275651,34.97661046,"[36.63224932249322, 34.36785907859078, 36.13159891598916]",36.63224932,4.192932676,1964
77,0.000291667,0.742329114,48.68068714,"[178.11852564102563, 13.606423076923077, 14.977490384615384]",178.1185256,5.204297412,1959
78,1.26E-05,0.678274181,190.9301893,"[236.77641200201714, 179.0813414019163, 173.30399899142714]",236.776412,4.702969317,1957
79,1.11E-05,0.671527206,106.9571827,"[163.19051666666667, 94.48536111111112, 64.91618611111112]",163.1905167,6.303300278,1962
