index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,period
95,0.001646455,0.962493715,113.3913253,"[120.60535680970149, 113.65812733208955, 89.50600746268657]",120.6053568,7.215700224,themes_variations_59_60
96,8.65E-06,0.681400349,172.9974748,"[191.96951746800414, 169.05868644067797, 156.14934711172606]",191.9695175,7.270018661,themes_variations_59_60
97,0.000888544,1,53.57219281,"[97.64812801932368, 44.52204968944099, 13.435330400276053]",97.64812802,6.782162865,themes_variations_59_60
98,0,0.588840999,129.1597486,"[218.76058102345417, 110.14175106609808, 53.710092395167024]",218.760581,7.364991095,themes_variations_59_60
99,0.000453995,0.857807446,113.734414,"[122.68931598062954, 115.0509382566586, 74.32457627118644]",122.689316,7.040160837,stripe_paintings_61_62
100,0,0.62087854,172.8066214,"[170.09657224958949, 177.43474958949096, 134.94123563218392]",170.0965722,7.055412993,stripe_paintings_61_62
101,0.000642361,1,93.18441747,"[114.18274305555556, 90.19880208333333, 60.92774305555555]",114.1827431,7.438568873,stripe_paintings_61_62
102,0.012373354,0.992749518,143.9402598,"[159.1035587639311, 145.3202001013171, 85.62099797365755]",159.1035588,7.419100673,stripe_paintings_61_62
103,0.000570437,1,137.4516591,"[158.75488591269843, 135.55761408730157, 93.4842757936508]",158.7548859,7.514636685,stripe_paintings_61_62
104,0.000350068,0.920256491,163.8808685,"[179.72744193989072, 161.29325478142076, 142.85150273224045]",179.7274419,7.078046284,stripe_paintings_61_62
105,0.003824522,0.991697356,199.6137524,"[217.38375515560554, 196.9808773903262, 173.36901012373454]",217.3837552,5.965702566,stripe_paintings_61_62
106,4.64E-05,0.690866939,154.3008134,"[189.50169294990724, 149.88529684601113, 94.38766233766233]",189.5016929,7.394866615,stripe_paintings_61_62
107,0.004280462,0.940121018,121.6201468,"[182.61901260504203, 109.66617647058824, 60.416832983193274]",182.6190126,7.359871767,stripe_paintings_61_62
108,0.011607143,0.941431208,148.8272247,"[195.08205574912893, 141.41809668989546, 86.01879355400696]",195.0820557,7.329802325,stripe_paintings_61_62
109,0.000656288,0.970799704,186.5616475,"[200.42075193325192, 184.96531847781847, 161.56509462759462]",200.4207519,6.340074996,stripe_paintings_61_62
110,0.000226757,0.648878885,167.8869106,"[183.97191987906274, 166.89235638699924, 130.37489134542707]",183.9719199,6.669289194,stripe_paintings_61_62
111,0.000408163,0.997167023,144.2973867,"[165.35785714285714, 140.99053571428573, 115.03982142857143]",165.3578571,7.567263008,stripe_paintings_61_62
112,0.012326067,0.964643388,121.3592529,"[144.1562615955473, 120.11034322820038, 66.60269016697588]",144.1562616,7.607993718,stripe_paintings_61_62
113,0.000728022,0.980098908,113.2358234,"[133.74065934065933, 109.5890521978022, 88.98156593406594]",133.7406593,6.225508426,stripe_paintings_61_62
114,0.005357143,0.9921875,125.894728,"[148.92830598455598, 124.15427123552124, 75.31073841698841]",148.928306,7.442740491,stripe_paintings_61_62
115,0.009380952,1,146.4285909,"[168.66519047619047, 143.1982619047619, 112.94978571428571]",168.6651905,7.469496925,stripe_paintings_61_62
116,0.01017642,0.949529361,150.4474174,"[174.5151678141136, 148.42586058519794, 99.60273235800344]",174.5151678,7.444894302,stripe_paintings_61_62
117,0.000575912,0.935035218,139.3810705,"[136.17687711467858, 142.67435749766037, 116.1934345979411]",136.1768771,7.434309823,stripe_paintings_61_62
118,0.000201149,1,159.314953,"[182.31366379310344, 155.2332327586207, 132.02576149425286]",182.3136638,6.869801885,stripe_paintings_61_62
119,0.001826609,0.968703026,115.0950249,"[127.51224100327154, 114.48102508178845, 84.61348146128681]",127.512241,7.29349713,stripe_paintings_61_62
120,0.000542445,0.916976735,142.1205017,"[161.3831129236617, 137.9578159645233, 126.63465315172633]",161.3831129,7.380191323,stripe_paintings_61_62
121,0.002490079,0.929420427,115.5762231,"[146.83762896825397, 108.48378968253968, 93.78028769841269]",146.837629,7.598874956,stripe_paintings_61_62
122,0.000230415,0.853471663,131.1763831,"[143.92089093701998, 131.95284178187404, 85.9574692780338]",143.9208909,7.238142672,stripe_paintings_61_62
123,0.001257953,0.787791818,183.6507106,"[201.95594997108154, 182.0916136495084, 145.19326200115674]",201.95595,7.152981962,stripe_paintings_61_62
124,0.008369565,0.972049485,153.5394515,"[191.6739751552795, 147.78063664596274, 98.29436335403727]",191.6739752,7.252047209,stripe_paintings_61_62
125,0.001741071,0.986748775,190.4576576,"[214.1066517857143, 189.01964285714286, 135.06558035714286]",214.1066518,7.124088346,stripe_paintings_61_62
126,8.17E-05,0.925353725,112.5364713,"[128.67222222222222, 110.6312091503268, 83.89634395424837]",128.6722222,7.37581992,stripe_paintings_61_62
127,0.002050581,0.993352365,208.7610255,"[219.32234278879017, 207.83735475051265, 186.8119019138756]",219.3223428,5.991738301,stripe_paintings_61_62
128,0.000367647,0.877878223,95.57801858,"[111.85880821078432, 93.17633272058823, 71.42829350490196]",111.8588082,7.165120841,stripe_paintings_61_62
129,0.000313187,0.995465953,189.2135515,"[202.87929120879122, 188.56142857142856, 155.43324725274726]",202.8792912,4.772125084,stripe_paintings_61_62
130,0.011354962,0.959005317,154.0414571,"[172.64809160305344, 151.82986641221373, 121.1600054525627]",172.6480916,7.434649068,stripe_paintings_61_62
131,0.001027397,0.914760854,170.8809282,"[185.0155577299413, 169.67729941291586, 141.1830479452055]",185.0155577,7.095948075,stripe_paintings_61_62
